id;age_years;age_years_full;sex;cb;experimenter;order;obj.pair_1_dual_identity;obj.pair_2_dual_identity;obj.pair_1_control;obj.pair_2_control;obj.pair_1_change_of_location;obj.pair_2_change_of_location;consis_1_dual_identity;consis_2_dual_identity;consis_1_control;consis_2_control;consis_1_change_of_location;consis_2_change_of_location;res_c_1_dual_identity;res_c_2_dual_identity;res_c_1_control;res_c_2_control;res_c_1_change_of_location;res_c_2_change_of_location;res_t_1_dual_identity;res_t_2_dual_identity;res_t_1_control;res_t_2_control;res_t_1_change_of_location;res_t_2_change_of_location;c_correct_1_dual_identity;c_correct_2_dual_identity;c_correct_1_control;c_correct_2_control;c_correct_1_change_of_location;c_correct_2_change_of_location;t_correct_1_dual_identity;t_correct_2_dual_identity;t_correct_1_control;t_correct_2_control;t_correct_1_change_of_location;t_correct_2_change_of_location
84;4,23835616438356;4;f;CB_15;Isa;acn acn;XC;CX;XC;CX;M0;0M;I;C;C;I;I;C;NA;NA;right;left;right;left;NA;NA;self;wind;self;wind;NA;NA;1;1;1;0;NA;NA;1;1;0;0
85;7,47397260273973;7;f;CB_14;Isa;acn acn;XC;CX;CX;XC;M0;0M;I;C;C;I;I;C;right;left;left;right;left;right;wind;self;self;wind;wind;self;1;1;1;1;0;1;1;1;1;1;1;1
87;4,62739726027397;4;m;CB_11;Isa;acn acn;XC;XC;XC;XC;M0;M0;I;C;C;I;I;C;right;right;right;right;left;left;wind;self;self;wind;self;wind;1;1;1;1;0;0;1;1;1;1;0;0
88;6,60821917808219;6;f;CB_09;Isa;acn acn;CX;CX;XC;XC;0M;0M;I;C;C;I;I;C;left;left;left;left;right;left;wind;self;wind;self;wind;wind;1;1;0;0;1;0;1;1;0;0;1;0
89;4,15616438356164;4;f;CB_08;Eva;acn acn;XC;CX;XC;CX;M0;0M;C;I;I;C;C;I;NA;NA;right;right;right;left;NA;NA;wind;wind;wind;wind;NA;NA;1;0;1;0;NA;NA;1;0;0;1
90;5,28493150684931;5;f;CB_06;Isa;acn acn;CX;XC;XC;CX;0M;M0;C;I;I;C;C;I;left;right;NA;NA;right;left;self;wind;NA;NA;self;wind;1;1;NA;NA;1;0;1;1;NA;NA;1;1
91;7,49863013698630;7;f;CB_05;Eva;acn acn;XC;CX;CX;XC;M0;0M;C;I;I;C;C;I;right;left;right;left;left;right;self;wind;self;wind;self;self;1;1;0;0;0;1;1;1;0;0;1;0
92;4,70684931506849;4;f;CB_03;Isa;acn acn;CX;CX;CX;CX;0M;0M;C;I;I;C;C;I;left;left;left;left;right;right;self;wind;wind;self;wind;self;1;1;1;1;1;1;1;1;1;1;0;0
93;6,66849315068493;6;f;CB_16;Eva;acn acn;CX;XC;CX;XC;0M;M0;I;C;C;I;I;C;left;right;right;right;right;left;wind;self;wind;wind;wind;self;1;1;0;1;1;0;1;1;0;1;1;1
94;6,79726027397260;6;m;CB_10;Eva;acn acn;XC;XC;CX;CX;M0;M0;I;C;C;I;I;C;right;right;left;left;left;left;self;self;self;wind;wind;self;1;1;1;1;0;0;0;1;1;1;1;1
95;6,21369863013699;6;f;CB_30;Eva;nca nca;CX;XC;CX;XC;0M;M0;I;C;C;I;I;C;left;right;NA;NA;right;left;wind;self;NA;NA;wind;self;1;1;NA;NA;1;0;1;1;NA;NA;1;1
96;7,95616438356164;7;f;CB_12;Isa;acn acn;CX;CX;CX;CX;0M;0M;I;C;C;I;I;C;left;left;left;left;right;right;wind;self;self;wind;wind;self;1;1;1;1;1;1;1;1;1;1;1;1
97;7,34520547945205;7;f;CB_29;Eva;nca nca;XC;CX;XC;CX;M0;0M;I;C;C;I;I;C;right;left;left;right;left;right;wind;self;wind;self;wind;self;1;1;0;0;0;1;1;1;0;0;1;1
100;6,64383561643836;6;m;CB_01;Eva;acn acn;XC;XC;CX;CX;M0;M0;C;I;I;C;C;I;right;right;NA;NA;left;right;self;wind;NA;NA;self;self;1;1;NA;NA;0;1;1;1;NA;NA;1;0
102;6,09589041095890;6;f;CB_04;Isa;acn acn;XC;XC;XC;XC;M0;M0;C;I;I;C;C;I;right;right;right;right;left;left;self;wind;wind;self;self;wind;1;1;1;1;0;0;1;1;1;1;1;1
104;6,43013698630137;6;f;CB_06;Eva;acn acn;CX;XC;XC;CX;0M;M0;C;I;I;C;C;I;left;right;right;left;right;left;wind;wind;wind;wind;wind;wind;1;1;1;1;1;0;0;1;1;0;0;1
105;4,96164383561644;4;f;CB_06;Isa;acn acn;CX;XC;XC;CX;0M;M0;C;I;I;C;C;I;NA;NA;left;right;right;left;NA;NA;wind;self;self;wind;NA;NA;0;0;1;0;NA;NA;1;1;1;1
106;6,40821917808219;6;m;CB_08;Eva;acn acn;XC;CX;XC;CX;M0;0M;C;I;I;C;C;I;right;left;right;left;right;right;self;wind;wind;self;self;wind;1;1;1;1;1;1;1;1;1;1;1;1
107;7,88493150684932;7;f;CB_09;Isa;acn acn;CX;CX;XC;XC;0M;0M;I;C;C;I;I;C;left;left;right;right;right;right;wind;self;self;wind;wind;self;1;1;1;1;1;1;1;1;1;1;1;1
108;5,50410958904110;5;f;CB_11;Isa;acn acn;XC;XC;XC;XC;M0;M0;I;C;C;I;I;C;left;right;right;right;right;right;self;self;wind;wind;self;wind;0;1;1;1;1;1;0;1;0;1;0;0
109;4,63287671232877;4;m;CB_14;Eva;acn acn;XC;CX;CX;XC;M0;0M;I;C;C;I;I;C;right;right;right;left;NA;left;self;wind;self;self;NA;wind;1;0;0;0;NA;0;0;0;1;0;NA;0
112;5,36712328767123;5;f;CB_18;Eva;nca nca;XC;XC;XC;XC;M0;M0;C;I;I;C;C;I;NA;NA;NA;NA;left;left;NA;NA;NA;NA;wind;self;NA;NA;NA;NA;0;0;NA;NA;NA;NA;0;0
114;4,54520547945206;4;m;CB_20;Eva;nca nca;CX;CX;XC;XC;0M;0M;C;I;I;C;C;I;NA;NA;NA;NA;left;right;NA;NA;NA;NA;self;wind;NA;NA;NA;NA;0;1;NA;NA;NA;NA;1;1
115;4,94246575342466;4;m;CB_21;Eva;nca nca;CX;XC;CX;XC;0M;M0;C;I;I;C;C;I;right;left;NA;NA;left;right;wind;wind;NA;NA;wind;wind;0;0;NA;NA;0;1;0;1;NA;NA;0;1
117;7,55616438356164;7;f;CB_22;Isa;nca nca;XC;CX;XC;CX;M0;0M;C;I;I;C;C;I;right;left;right;left;left;right;self;wind;wind;self;self;wind;1;1;1;1;0;1;1;1;1;1;1;1
119;5,43013698630137;5;f;CB_24;Eva;nca nca;CX;XC;XC;CX;0M;M0;C;I;I;C;C;I;left;right;right;left;right;left;self;wind;wind;self;self;wind;1;1;1;1;1;0;1;1;1;1;1;1
120;5,41917808219178;5;m;CB_25;Eva;nca nca;XC;XC;XC;XC;M0;M0;I;C;C;I;I;C;right;right;right;right;right;left;wind;self;self;wind;self;self;1;1;1;1;1;0;1;1;1;1;0;1
122;6,52328767123288;6;m;CB_26;Isa;nca nca;CX;CX;CX;CX;0M;0M;I;C;C;I;I;C;left;right;right;left;left;left;wind;wind;wind;wind;self;wind;1;0;0;1;0;0;1;0;0;1;0;0
124;4,70958904109589;4;f;CB_28;Isa;nca nca;XC;XC;CX;CX;M0;M0;I;C;C;I;I;C;left;left;left;right;right;right;self;wind;self;self;self;self;0;0;1;0;1;1;0;0;1;0;0;1
125;7,10684931506849;7;m;CB_31;Isa;nca nca;CX;XC;XC;CX;0M;M0;I;C;C;I;I;C;left;right;right;left;right;left;wind;self;self;wind;wind;self;1;1;1;1;1;0;1;1;1;1;1;1
126;5,35342465753425;5;f;CB_32;Isa;nca nca;XC;CX;CX;XC;M0;0M;I;C;C;I;I;C;NA;NA;left;right;left;right;NA;NA;self;wind;wind;self;NA;NA;1;1;0;1;NA;NA;1;1;1;1
127;4,29589041095890;4;f;CB_27;Isa;nca nca;CX;CX;XC;XC;0M;0M;I;C;C;I;I;C;left;left;left;left;left;left;wind;self;wind;wind;self;wind;1;1;0;0;0;0;1;1;0;1;0;0
128;4,28219178082192;4;f;CB_26;Isa;nca nca;CX;CX;CX;CX;0M;0M;I;C;C;I;I;C;left;left;left;left;left;left;self;self;self;wind;self;wind;1;1;1;1;0;0;0;1;1;1;0;0
129;4,79452054794521;4;m;CB_23;Isa;nca nca;XC;CX;CX;XC;M0;0M;C;I;I;C;C;I;right;left;right;right;left;right;self;self;self;self;self;self;1;1;0;1;0;1;1;0;0;1;1;0
130;7,58356164383562;7;f;CB_20;Isa;nca nca;CX;CX;XC;XC;0M;0M;C;I;I;C;C;I;left;left;right;right;right;right;self;wind;wind;self;self;self;1;1;1;1;1;1;1;1;1;1;1;0
131;5,31780821917808;5;m;CB_19;Eva;nca nca;XC;XC;CX;CX;M0;M0;C;I;I;C;C;I;right;right;left;left;left;left;self;wind;self;self;wind;wind;1;1;1;1;0;0;1;1;0;1;0;1
132;5,90958904109589;5;m;CB_18;Isa;nca nca;XC;XC;XC;XC;M0;M0;C;I;I;C;C;I;right;right;left;right;left;left;self;wind;self;self;wind;wind;1;1;0;1;0;0;1;1;0;1;0;1
133;4,79178082191781;4;m;CB_15;Isa;acn acn;XC;CX;XC;CX;M0;0M;I;C;C;I;I;C;right;left;right;left;left;NA;wind;self;self;wind;wind;NA;1;1;1;1;0;NA;1;1;1;1;1;NA
134;4,98904109589041;4;f;CB_15;Eva;acn acn;XC;CX;XC;CX;M0;0M;I;C;C;I;I;C;right;left;right;left;left;right;wind;self;self;wind;wind;self;1;1;1;1;0;1;1;1;1;1;1;1
135;6,93972602739726;6;f;CB_05;Eva;acn acn;XC;CX;CX;XC;M0;0M;C;I;I;C;C;I;right;left;left;right;left;right;self;wind;wind;self;self;wind;1;1;1;1;0;1;1;1;1;1;1;1
137;7,07945205479452;7;f;CB_02;Eva;acn acn;CX;CX;XC;XC;0M;0M;C;I;I;C;C;I;left;left;right;right;right;right;self;wind;wind;self;self;wind;1;1;1;1;1;1;1;1;1;1;1;1
138;4,84109589041096;4;m;CB_30;Eva;nca nca;CX;XC;CX;XC;0M;M0;I;C;C;I;I;C;right;left;left;right;left;right;wind;wind;wind;wind;wind;wind;0;0;1;1;0;1;1;0;0;1;1;0
139;4,45753424657534;4;f;CB_12;Eva;acn acn;CX;CX;CX;CX;0M;0M;I;C;C;I;I;C;left;left;right;left;right;left;wind;self;wind;wind;wind;wind;1;1;0;1;1;0;1;1;0;1;1;0
142;7,02185792349727;7;m;CB_30;Isa;nca nca;CX;XC;CX;XC;0M;M0;I;C;C;I;I;C;left;right;left;right;right;left;wind;self;self;wind;wind;self;1;1;1;1;1;0;1;1;1;1;1;1
143;5,12602739726027;5;m;CB_12;Eva;acn acn;CX;CX;CX;CX;0M;0M;I;C;C;I;I;C;NA;NA;left;left;right;left;NA;NA;self;wind;wind;wind;NA;NA;1;1;1;0;NA;NA;1;1;1;0
144;4,73698630136986;4;f;CB_13;Eva;acn acn;CX;XC;XC;CX;0M;M0;I;C;C;I;I;C;left;right;right;left;left;right;wind;self;self;wind;self;wind;1;1;1;1;0;1;1;1;1;1;0;0
145;6,42739726027397;6;m;CB_17;Eva;nca nca;CX;CX;CX;CX;0M;0M;C;I;I;C;C;I;left;left;left;left;right;right;self;wind;wind;self;self;self;1;1;1;1;1;1;1;1;1;1;1;0
146;6,00819672131148;6;f;CB_29;Eva;nca nca;XC;CX;XC;CX;M0;0M;I;C;C;I;I;C;right;left;right;left;left;right;wind;wind;self;wind;wind;self;1;1;1;1;0;1;1;0;1;1;1;1
149;7,89863013698630;7;f;CB_30;Eva;nca nca;CX;XC;CX;XC;0M;M0;I;C;C;I;I;C;left;right;left;right;right;left;wind;self;self;wind;wind;self;1;1;1;1;1;0;1;1;1;1;1;1
150;5,34246575342466;5;m;CB_01;Eva;acn acn;XC;XC;CX;CX;M0;M0;C;I;I;C;C;I;right;NA;NA;NA;right;right;self;NA;NA;NA;wind;self;1;NA;NA;NA;1;1;1;NA;NA;NA;0;0
152;5,04371584699454;5;f;CB_02;Eva;acn acn;CX;CX;XC;XC;0M;0M;C;I;I;C;C;I;left;left;left;right;right;right;self;wind;self;self;wind;wind;1;1;0;1;1;1;1;1;0;1;0;1
153;4,80547945205479;4;f;CB_03;Isa;acn acn;CX;CX;CX;CX;0M;0M;C;I;I;C;C;I;right;right;right;left;left;left;wind;self;self;self;wind;self;0;0;0;1;0;0;0;0;0;1;0;0
154;6,31780821917808;6;m;CB_04;Isa;acn acn;XC;XC;XC;XC;M0;M0;C;I;I;C;C;I;NA;NA;right;right;left;left;NA;NA;wind;self;wind;wind;NA;NA;1;1;0;0;NA;NA;1;1;0;1
155;6,03278688524590;6;m;CB_07;Isa;acn acn;CX;XC;CX;XC;0M;M0;C;I;I;C;C;I;right;left;left;right;left;right;wind;self;self;self;wind;self;0;0;1;1;0;1;0;0;0;1;0;0
156;7,86849315068493;7;f;CB_10;Isa;acn acn;XC;XC;CX;CX;M0;M0;I;C;C;I;I;C;right;right;left;left;left;left;wind;wind;wind;wind;wind;wind;1;1;1;1;0;0;1;0;0;1;1;0
157;6,41369863013699;6;f;CB_13;Eva;acn acn;CX;XC;XC;CX;0M;M0;I;C;C;I;I;C;left;right;right;left;right;right;wind;self;self;wind;wind;self;1;1;1;1;1;1;1;1;1;1;1;1
158;5,22739726027397;5;m;CB_17;Isa;nca nca;CX;CX;CX;CX;0M;0M;C;I;I;C;C;I;NA;NA;left;left;right;left;NA;NA;wind;self;wind;self;NA;NA;1;1;1;0;NA;NA;1;1;0;0
159;5,54794520547945;5;f;CB_19;Isa;nca nca;XC;XC;CX;CX;M0;M0;C;I;I;C;C;I;right;right;left;left;left;left;self;wind;wind;self;wind;wind;1;1;1;1;0;0;1;1;1;1;0;1
161;7,07377049180328;7;f;CB_29;Isa;nca nca;XC;CX;XC;CX;M0;0M;I;C;C;I;I;C;right;left;right;left;left;right;wind;self;self;wind;wind;self;1;1;1;1;0;1;1;1;1;1;1;1
162;7,36986301369863;7;f;CB_25;Isa;nca nca;XC;XC;XC;XC;M0;M0;I;C;C;I;I;C;right;right;right;right;left;left;wind;self;self;wind;wind;wind;1;1;1;1;0;0;1;1;1;1;1;0
163;4,43287671232877;4;f;CB_02;Eva;acn acn;CX;CX;XC;XC;0M;0M;C;I;I;C;C;I;right;left;right;right;right;right;wind;wind;wind;wind;wind;wind;0;1;1;1;1;1;0;1;1;0;0;1
164;7,23561643835616;7;m;CB_03;Eva;acn acn;CX;CX;CX;CX;0M;0M;C;I;I;C;C;I;left;left;left;left;right;right;self;wind;wind;self;self;wind;1;1;1;1;1;1;1;1;1;1;1;1
165;4,12841530054645;4;f;CB_05;Eva;acn acn;XC;CX;CX;XC;M0;0M;C;I;I;C;C;I;right;left;left;right;right;NA;self;wind;wind;self;wind;NA;1;1;1;1;1;NA;1;1;1;1;0;NA
167;7,69315068493151;7;m;CB_08;Eva;acn acn;XC;CX;XC;CX;M0;0M;C;I;I;C;C;I;right;left;left;left;left;right;self;wind;self;self;self;wind;1;1;0;1;0;1;1;1;0;1;1;1
168;5,46575342465753;5;f;CB_07;Eva;acn acn;CX;XC;CX;XC;0M;M0;C;I;I;C;C;I;left;right;left;right;right;left;self;wind;wind;self;wind;wind;1;1;1;1;1;0;1;1;1;1;0;1
169;5,17808219178082;5;f;CB_08;Eva;acn acn;XC;CX;XC;CX;M0;0M;C;I;I;C;C;I;right;left;right;left;left;right;self;wind;wind;self;self;wind;1;1;1;1;0;1;1;1;1;1;1;1
170;7,40821917808219;7;m;CB_10;Eva;acn acn;XC;XC;CX;CX;M0;M0;I;C;C;I;I;C;right;right;left;left;left;left;wind;self;self;wind;wind;self;1;1;1;1;0;0;1;1;1;1;1;1
