id;age_years;cb;trial;objects;c_i;res_c;res_t;c_correct;t_correct
10;6,03561643835616;j_10;1;CD;I;right;wind;1;1
10;6,03561643835616;j_10;2;XC;C;right;wind;1;0
10;6,03561643835616;j_10;3;CD;C;right;wind;1;0
10;6,03561643835616;j_10;4;XC;I;right;wind;1;1
11;7,17534246575342;j_11;1;CX;I;left;wind;1;1
11;7,17534246575342;j_11;2;DC;C;left;self;1;1
11;7,17534246575342;j_11;3;CX;C;left;self;1;1
11;7,17534246575342;j_11;4;DC;I;left;wind;1;1
12;7,90684931506849;j_12;1;DC;C;left;wind;1;0
12;7,90684931506849;j_12;2;CX;I;left;wind;1;1
12;7,90684931506849;j_12;3;DC;I;left;wind;1;1
12;7,90684931506849;j_12;4;CX;C;left;self;1;1
13;4,21095890410959;j_13;1;DC;C;left;wind;1;0
13;4,21095890410959;j_13;2;CX;I;left;self;1;0
13;4,21095890410959;j_13;3;DC;I;right;self;0;0
13;4,21095890410959;j_13;4;NA;NA;NA;NA;NA;NA
14;5,23013698630137;j_14;1;CD;I;right;wind;1;1
14;5,23013698630137;j_14;2;XC;C;right;self;1;1
14;5,23013698630137;j_14;3;CD;C;right;self;1;1
14;5,23013698630137;j_14;4;XC;I;right;wind;1;1
15;4,36712328767123;j_15;1;XC;C;left;wind;0;0
15;4,36712328767123;j_15;2;CD;I;right;wind;1;1
15;4,36712328767123;j_15;3;XC;I;right;wind;1;1
15;4,36712328767123;j_15;4;CD;C;right;self;1;1
16;5,03013698630137;j_16;1;DC;I;left;wind;1;1
16;5,03013698630137;j_16;2;CX;C;left;self;1;1
16;5,03013698630137;j_16;3;DC;C;left;wind;1;0
16;5,03013698630137;j_16;4;CX;I;left;wind;1;1
17;4,36712328767123;j_17;1;CD;C;right;self;1;1
17;4,36712328767123;j_17;2;XC;I;right;self;1;0
17;4,36712328767123;j_17;3;CD;I;right;wind;1;1
17;4,36712328767123;j_17;4;XC;C;right;self;1;1
18;5,89041095890411;j_18;1;XC;I;right;wind;1;1
18;5,89041095890411;j_18;2;CD;C;right;self;1;1
18;5,89041095890411;j_18;3;XC;C;right;self;1;1
18;5,89041095890411;j_18;4;CD;I;right;wind;1;1
19;5,62465753424657;j_19;1;CX;C;left;wind;1;0
19;5,62465753424657;j_19;2;DC;I;left;wind;1;1
19;5,62465753424657;j_19;3;CX;I;left;wind;1;1
19;5,62465753424657;j_19;4;DC;C;left;self;1;1
20;6,67397260273973;j_20;1;CX;I;left;wind;1;1
20;6,67397260273973;j_20;2;DC;C;left;self;1;1
20;6,67397260273973;j_20;3;CX;C;left;self;1;1
20;6,67397260273973;j_20;4;DC;I;left;wind;1;1
21;5,33972602739726;j_21;1;XC;I;right;wind;1;1
21;5,33972602739726;j_21;2;CD;C;right;self;1;1
21;5,33972602739726;j_21;3;XC;C;right;self;1;1
21;5,33972602739726;j_21;4;CD;I;right;wind;1;1
22;6,89041095890411;j_22;1;CX;I;left;wind;1;1
22;6,89041095890411;j_22;2;DC;C;left;self;1;1
22;6,89041095890411;j_22;3;CX;C;left;self;1;1
22;6,89041095890411;j_22;4;DC;I;left;wind;1;1
23;4,05479452054795;j_23;1;CD;C;left;self;0;1
23;4,05479452054795;j_23;2;XC;I;right;self;1;0
23;4,05479452054795;j_23;3;CD;I;right;wind;1;1
23;4,05479452054795;j_23;4;XC;C;right;self;1;1
24;4,21643835616438;j_24;1;DC;C;left;self;1;1
24;4,21643835616438;j_24;2;CX;I;left;wind;1;1
24;4,21643835616438;j_24;3;DC;I;left;wind;1;1
24;4,21643835616438;j_24;4;CX;C;left;self;1;1
25;4,72602739726027;j_25;1;CX;C;left;wind;1;0
25;4,72602739726027;j_25;2;DC;I;left;self;1;0
25;4,72602739726027;j_25;3;CX;I;left;wind;1;1
25;4,72602739726027;j_25;4;DC;C;left;self;1;1
26;7,33150684931507;j_08;1;CD;C;right;wind;1;0
26;7,33150684931507;j_08;2;XC;I;right;wind;1;1
26;7,33150684931507;j_08;3;CD;I;right;wind;1;1
26;7,33150684931507;j_08;4;XC;C;right;self;1;1
27;5,61643835616438;CB_01;1;DC;I;left;wind;1;1
27;5,61643835616438;CB_01;2;XC;C;right;self;1;1
27;5,61643835616438;CB_01;3;DC;C;left;self;1;1
27;5,61643835616438;CB_01;4;XC;I;right;wind;1;1
28;4,12876712328767;CB_02;1;CX;I;left;self;1;0
28;4,12876712328767;CB_02;2;CD;C;NA;wind;NA;0
28;4,12876712328767;CB_02;3;CX;C;left;self;1;1
28;4,12876712328767;CB_02;4;CD;I;right;wind;1;1
29;7,93424657534247;CB_03;1;CD;I;right;wind;1;1
29;7,93424657534247;CB_03;2;CX;C;left;self;1;1
29;7,93424657534247;CB_03;3;CD;C;right;self;1;1
29;7,93424657534247;CB_03;4;CX;I;left;wind;1;1
30;6,49315068493151;CB_04;1;XC;I;right;wind;1;1
30;6,49315068493151;CB_04;2;DC;C;left;wind;1;0
30;6,49315068493151;CB_04;3;XC;C;right;self;1;1
30;6,49315068493151;CB_04;4;DC;I;left;wind;1;1
31;7,64657534246575;CB_05;1;CD;C;right;NA;1;NA
31;7,64657534246575;CB_05;2;CX;I;left;wind;1;1
31;7,64657534246575;CB_05;3;CD;I;right;wind;1;1
31;7,64657534246575;CB_05;4;CX;C;left;self;1;1
32;6,46575342465753;CB_06;1;XC;C;right;wind;1;0
32;6,46575342465753;CB_06;2;DC;I;left;wind;1;1
32;6,46575342465753;CB_06;3;XC;I;right;wind;1;1
32;6,46575342465753;CB_06;4;DC;C;left;self;1;1
33;6,34520547945205;CB_07;1;DC;C;left;NA;1;NA
33;6,34520547945205;CB_07;2;XC;I;right;wind;1;1
33;6,34520547945205;CB_07;3;DC;I;left;wind;1;1
33;6,34520547945205;CB_07;4;XC;C;right;self;1;1
34;5,25205479452055;CB_08;1;CX;C;left;self;1;1
34;5,25205479452055;CB_08;2;CD;I;right;wind;1;1
34;5,25205479452055;CB_08;3;CX;I;left;wind;1;1
34;5,25205479452055;CB_08;4;CD;C;right;self;1;1
35;6,27123287671233;CB_09;1;DC;I;left;wind;1;1
35;6,27123287671233;CB_09;2;XC;C;right;self;1;1
35;6,27123287671233;CB_09;3;DC;C;left;self;1;1
35;6,27123287671233;CB_09;4;XC;I;right;wind;1;1
36;7,33150684931507;CB_09;1;DC;I;left;wind;1;1
36;7,33150684931507;CB_09;2;XC;C;right;wind;1;0
36;7,33150684931507;CB_09;3;DC;C;left;self;1;1
36;7,33150684931507;CB_09;4;XC;I;right;wind;1;1
37;4,67671232876712;CB_10;1;CX;I;left;wind;1;1
37;4,67671232876712;CB_10;2;CD;C;right;self;1;1
37;4,67671232876712;CB_10;3;CX;C;left;self;1;1
37;4,67671232876712;CB_10;4;CD;I;right;wind;1;1
38;6,80821917808219;CB_17;1;DC;I;left;wind;1;1
38;6,80821917808219;CB_17;2;XC;C;right;wind;1;0
38;6,80821917808219;CB_17;3;DC;C;left;self;1;1
38;6,80821917808219;CB_17;4;XC;I;right;wind;1;1
39;6,84383561643836;CB_18;1;CX;I;left;wind;1;1
39;6,84383561643836;CB_18;2;CD;C;right;self;1;1
39;6,84383561643836;CB_18;3;CX;C;left;self;1;1
39;6,84383561643836;CB_18;4;CD;I;right;wind;1;1
40;7,29315068493151;CB_19;1;CD;I;right;wind;1;1
40;7,29315068493151;CB_19;2;CX;C;left;self;1;1
40;7,29315068493151;CB_19;3;CX;C;right;self;0;1
40;7,29315068493151;CB_19;4;CX;I;left;wind;1;1
41;5,98356164383562;CB_20;1;XC;I;right;wind;1;1
41;5,98356164383562;CB_20;2;DC;C;left;self;1;1
41;5,98356164383562;CB_20;3;XC;C;right;self;1;1
41;5,98356164383562;CB_20;4;DC;I;left;wind;1;1
42;6,16712328767123;CB_21;1;CD;C;right;wind;1;0
42;6,16712328767123;CB_21;2;CX;I;left;wind;1;1
42;6,16712328767123;CB_21;3;CD;I;right;wind;1;1
42;6,16712328767123;CB_21;4;CX;C;left;self;1;1
43;5,10136986301370;CB_22;1;XC;C;right;wind;1;0
43;5,10136986301370;CB_22;2;DC;I;left;wind;1;1
43;5,10136986301370;CB_22;3;XC;I;right;wind;1;1
43;5,10136986301370;CB_22;4;DC;C;left;self;1;1
44;5,07671232876712;CB_11;1;CD;I;right;wind;1;1
44;5,07671232876712;CB_11;2;CX;C;left;wind;1;0
44;5,07671232876712;CB_11;3;CD;C;right;self;1;1
44;5,07671232876712;CB_11;4;CX;I;left;wind;1;1
45;4,33150684931507;CB_12;1;XC;I;right;wind;1;1
45;4,33150684931507;CB_12;2;DC;C;right;wind;0;0
45;4,33150684931507;CB_12;3;XC;C;right;self;1;1
45;4,33150684931507;CB_12;4;DC;I;left;wind;1;1
46;7,85753424657534;CB_13;1;CD;C;right;self;1;1
46;7,85753424657534;CB_13;2;CX;I;left;wind;1;1
46;7,85753424657534;CB_13;3;CD;I;right;wind;1;1
46;7,85753424657534;CB_13;4;CX;C;left;self;1;1
47;7,08219178082192;CB_14;1;XC;C;right;wind;1;0
47;7,08219178082192;CB_14;2;DC;I;left;wind;1;1
47;7,08219178082192;CB_14;3;XC;I;right;wind;1;1
47;7,08219178082192;CB_14;4;DC;C;left;self;1;1
48;6,31232876712329;CB_23;1;DC;C;left;self;1;1
48;6,31232876712329;CB_23;2;XC;I;right;wind;1;1
48;6,31232876712329;CB_23;3;DC;I;left;wind;1;1
48;6,31232876712329;CB_23;4;XC;C;right;self;1;1
49;5,78630136986301;CB_24;1;CX;C;left;wind;1;0
49;5,78630136986301;CB_24;2;CD;I;right;self;1;0
49;5,78630136986301;CB_24;3;CX;I;left;wind;1;1
49;5,78630136986301;CB_24;4;CD;C;right;self;1;1
50;7,39726027397260;CB_25;1;DC;I;left;wind;1;1
50;7,39726027397260;CB_25;2;XC;C;right;self;1;1
50;7,39726027397260;CB_25;3;DC;C;left;self;1;1
50;7,39726027397260;CB_25;4;XC;I;right;wind;1;1
51;4,23835616438356;CB_26;1;CX;I;left;wind;1;1
51;4,23835616438356;CB_26;2;CD;C;left;wind;0;0
51;4,23835616438356;CB_26;3;CX;C;left;wind;1;0
51;4,23835616438356;CB_26;4;CD;I;left;wind;0;1
52;7,80000000000000;CB_27;1;CD;I;right;wind;1;1
52;7,80000000000000;CB_27;2;CX;C;left;wind;1;0
52;7,80000000000000;CB_27;3;CD;C;right;self;1;1
52;7,80000000000000;CB_27;4;CX;I;left;wind;1;1
53;6,93424657534247;CB_28;1;XC;I;right;wind;1;1
53;6,93424657534247;CB_28;2;DC;C;left;wind;1;0
53;6,93424657534247;CB_28;3;XC;C;right;self;1;1
53;6,93424657534247;CB_28;4;DC;I;left;wind;1;1
54;4,47397260273973;CB_29;1;CD;C;right;wind;1;0
54;4,47397260273973;CB_29;2;CX;I;left;self;1;0
54;4,47397260273973;CB_29;3;CD;I;right;wind;1;1
54;4,47397260273973;CB_29;4;CX;C;left;wind;1;0
55;4,65479452054795;CB_30;1;XC;C;right;wind;1;0
55;4,65479452054795;CB_30;2;DC;I;left;wind;1;1
55;4,65479452054795;CB_30;3;XC;I;right;wind;1;1
55;4,65479452054795;CB_30;4;DC;C;left;self;1;1
56;5,43835616438356;CB_31;1;DC;C;left;self;1;1
56;5,43835616438356;CB_31;2;XC;I;right;wind;1;1
56;5,43835616438356;CB_31;3;DC;I;left;wind;1;1
56;5,43835616438356;CB_31;4;XC;C;right;self;1;1
57;4,94246575342466;CB_32;1;CX;C;left;wind;1;0
57;4,94246575342466;CB_32;2;CD;I;right;wind;1;1
57;4,94246575342466;CB_32;3;CX;I;left;wind;1;1
57;4,94246575342466;CB_32;4;CD;C;right;self;1;1
58;6,82191780821918;CB_15;1;DC;C;left;wind;1;0
58;6,82191780821918;CB_15;2;XC;I;right;wind;1;1
58;6,82191780821918;CB_15;3;DC;I;left;wind;1;1
58;6,82191780821918;CB_15;4;XC;C;right;self;1;1
59;6,67671232876712;CB_16;1;CX;C;left;wind;1;0
59;6,67671232876712;CB_16;2;CD;I;right;wind;1;1
59;6,67671232876712;CB_16;3;CX;I;left;wind;1;1
59;6,67671232876712;CB_16;4;CD;C;right;self;1;1
60;7,90410958904110;CB_01;1;DC;I;left;wind;1;1
60;7,90410958904110;CB_01;2;XC;C;right;self;1;1
60;7,90410958904110;CB_01;3;DC;C;left;self;1;1
60;7,90410958904110;CB_01;4;XC;I;right;wind;1;1
61;5,47397260273973;CB_02;1;CX;I;left;wind;1;1
61;5,47397260273973;CB_02;2;CD;C;left;self;0;1
61;5,47397260273973;CB_02;3;CX;C;left;self;1;1
61;5,47397260273973;CB_02;4;CD;I;right;wind;1;1
62;5,74246575342466;CB_16;1;CX;C;left;wind;1;0
62;5,74246575342466;CB_16;2;CD;I;right;wind;1;1
62;5,74246575342466;CB_16;3;CX;I;left;wind;1;1
62;5,74246575342466;CB_16;4;CD;C;right;self;1;1
63;6,01643835616438;CB_32;1;CX;C;left;self;1;1
63;6,01643835616438;CB_32;2;CD;I;right;wind;1;1
63;6,01643835616438;CB_32;3;CX;I;left;wind;1;1
63;6,01643835616438;CB_32;4;CD;C;right;self;1;1
64;7,01917808219178;CB_04;1;XC;I;right;self;1;0
64;7,01917808219178;CB_04;2;DC;C;left;self;1;1
64;7,01917808219178;CB_04;3;XC;C;right;self;1;1
64;7,01917808219178;CB_04;4;DC;I;left;wind;1;1
65;5,01643835616438;CB_07;1;DC;C;left;wind;1;0
65;5,01643835616438;CB_07;2;XC;I;right;wind;1;1
65;5,01643835616438;CB_07;3;DC;I;left;wind;1;1
65;5,01643835616438;CB_07;4;XC;C;right;self;1;1
66;6,53424657534247;CB_10;1;CX;I;left;NA;1;NA
66;6,53424657534247;CB_10;2;CD;C;right;wind;1;0
66;6,53424657534247;CB_10;3;CX;C;left;wind;1;0
66;6,53424657534247;CB_10;4;CD;I;left;self;0;0
67;4,51232876712329;CB_19;1;CD;I;right;wind;1;1
67;4,51232876712329;CB_19;2;CX;C;left;self;1;1
67;4,51232876712329;CB_19;3;CD;C;right;self;1;1
67;4,51232876712329;CB_19;4;CX;I;left;wind;1;1
68;5,35616438356164;CB_30;1;XC;C;right;wind;1;0
68;5,35616438356164;CB_30;2;DC;I;left;self;1;0
68;5,35616438356164;CB_30;3;XC;I;right;wind;1;1
68;5,35616438356164;CB_30;4;DC;C;right;self;0;1
69;5,35616438356164;CB_12;1;XC;I;right;self;1;0
69;5,35616438356164;CB_12;2;DC;C;left;self;1;1
69;5,35616438356164;CB_12;3;XC;C;right;self;1;1
69;5,35616438356164;CB_12;4;DC;I;right;wind;0;1
70;6,52602739726027;CB_25;1;DC;I;left;wind;1;1
70;6,52602739726027;CB_25;2;XC;C;right;wind;1;0
70;6,52602739726027;CB_25;3;DC;C;left;self;1;1
70;6,52602739726027;CB_25;4;XC;I;right;wind;1;1
71;4,39726027397260;CB_26;1;CX;I;left;wind;1;1
71;4,39726027397260;CB_26;2;CD;C;right;wind;1;0
71;4,39726027397260;CB_26;3;CX;C;left;self;1;1
71;4,39726027397260;CB_26;4;CD;I;right;wind;1;1
72;4,43013698630137;CB_29;1;CD;C;left;NA;0;NA
72;4,43013698630137;CB_29;2;CX;I;right;self;0;0
72;4,43013698630137;CB_29;3;CD;I;right;wind;1;1
72;4,43013698630137;CB_29;4;CX;C;left;wind;1;0
73;4,43013698630137;CB_29;1;CD;C;left;self;0;1
73;4,43013698630137;CB_29;2;CX;I;left;self;1;0
73;4,43013698630137;CB_29;3;CD;I;left;wind;0;1
73;4,43013698630137;CB_29;4;CX;C;left;wind;1;0
74;4,32602739726027;CB_31;1;DC;C;left;self;1;1
74;4,32602739726027;CB_31;2;XC;I;right;wind;1;1
74;4,32602739726027;CB_31;3;DC;I;left;wind;1;1
74;4,32602739726027;CB_31;4;XC;C;right;self;1;1
75;4,03013698630137;CB_27;1;CD;I;right;wind;1;1
75;4,03013698630137;CB_27;2;CX;C;NA;wind;NA;0
75;4,03013698630137;CB_27;3;CD;C;right;self;1;1
75;4,03013698630137;CB_27;4;CX;I;left;wind;1;1
76;6,15890410958904;CB_28;1;XC;I;right;wind;1;1
76;6,15890410958904;CB_28;2;DC;C;left;wind;1;0
76;6,15890410958904;CB_28;3;XC;C;right;self;1;1
76;6,15890410958904;CB_28;4;DC;I;left;wind;1;1
77;7,71780821917808;CB_24;1;CX;C;left;wind;1;0
77;7,71780821917808;CB_24;2;CD;I;right;wind;1;1
77;7,71780821917808;CB_24;3;CX;I;left;wind;1;1
77;7,71780821917808;CB_24;4;CD;C;right;self;1;1
78;6,78356164383562;CB_23;1;DC;C;left;wind;1;0
78;6,78356164383562;CB_23;2;XC;I;right;wind;1;1
78;6,78356164383562;CB_23;3;DC;I;left;wind;1;1
78;6,78356164383562;CB_23;4;XC;C;right;self;1;1
79;5,72054794520548;CB_22;1;XC;C;left;wind;0;0
79;5,72054794520548;CB_22;2;DC;I;left;wind;1;1
79;5,72054794520548;CB_22;3;XC;I;right;wind;1;1
79;5,72054794520548;CB_22;4;DC;C;left;self;1;1
80;4,05753424657534;CB_21;1;CD;C;right;wind;1;0
80;4,05753424657534;CB_21;2;CX;I;left;self;1;0
80;4,05753424657534;CB_21;3;CD;I;right;wind;1;1
80;4,05753424657534;CB_21;4;CX;C;left;self;1;1
81;4,33424657534247;CB_20;1;XC;I;right;wind;1;1
81;4,33424657534247;CB_20;2;DC;C;left;self;1;1
81;4,33424657534247;CB_20;3;XC;C;right;self;1;1
81;4,33424657534247;CB_20;4;DC;I;left;wind;1;1
82;7,67671232876712;CB_18;1;CX;I;left;wind;1;1
82;7,67671232876712;CB_18;2;CD;C;right;wind;1;0
82;7,67671232876712;CB_18;3;CX;C;left;self;1;1
82;7,67671232876712;CB_18;4;CD;I;right;wind;1;1
83;5,43287671232877;CB_17;1;DC;I;left;wind;1;1
83;5,43287671232877;CB_17;2;XC;C;left;wind;0;0
83;5,43287671232877;CB_17;3;DC;C;right;self;0;1
83;5,43287671232877;CB_17;4;XC;I;right;self;1;0
84;4,23835616438356;CB_15;1;DC;C;left;wind;1;0
84;4,23835616438356;CB_15;2;XC;I;right;wind;1;1
84;4,23835616438356;CB_15;3;DC;I;left;wind;1;1
84;4,23835616438356;CB_15;4;XC;C;right;self;1;1
85;7,47397260273973;CB_14;1;XC;C;right;wind;1;0
85;7,47397260273973;CB_14;2;DC;I;left;wind;1;1
85;7,47397260273973;CB_14;3;XC;I;right;wind;1;1
85;7,47397260273973;CB_14;4;DC;C;left;self;1;1
86;4,58630136986301;CB_13;1;CD;C;right;wind;1;0
86;4,58630136986301;CB_13;2;CX;I;left;wind;1;1
86;4,58630136986301;CB_13;3;CD;I;right;wind;1;1
86;4,58630136986301;CB_13;4;CX;C;left;self;1;1
87;4,62739726027397;CB_11;1;CD;I;right;wind;1;1
87;4,62739726027397;CB_11;2;CX;C;left;self;1;1
87;4,62739726027397;CB_11;3;CD;C;right;self;1;1
87;4,62739726027397;CB_11;4;CX;I;left;wind;1;1
88;6,60821917808219;CB_09;1;DC;I;left;wind;1;1
88;6,60821917808219;CB_09;2;XC;C;right;self;1;1
88;6,60821917808219;CB_09;3;DC;C;left;self;1;1
88;6,60821917808219;CB_09;4;XC;I;right;wind;1;1
89;4,15616438356164;CB_08;1;CX;C;right;wind;0;0
89;4,15616438356164;CB_08;2;CD;I;left;wind;0;1
89;4,15616438356164;CB_08;3;CX;I;left;wind;1;1
89;4,15616438356164;CB_08;4;CD;C;right;self;1;1
90;5,28493150684931;CB_06;1;XC;C;right;wind;1;0
90;5,28493150684931;CB_06;2;DC;I;left;self;1;0
90;5,28493150684931;CB_06;3;XC;I;right;wind;1;1
90;5,28493150684931;CB_06;4;DC;C;left;self;1;1
91;7,49863013698630;CB_05;1;CD;C;right;wind;1;0
