video_1,video_2,video_3,video_4,video_5,video_6,video_7,video_8,video_9,video_10,video_11,video_12,consisfam,outcomefam,order,consis,outcome,tb_fb_order,group
'videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/TB_ball_rattle_R.mp4','videos/FB_bottle_R.mp4','videos/TB_magnifier_tröte_L.mp4','videos/FB_map_L.mp4','videos/FB_pen_whistle_L.mp4','videos/TB_necklace_R.mp4','videos/FB_compass_bell_R.mp4','videos/TB_sword_L.mp4',IKKI,LRRL,acacacac,KIIKKIIK,RRLLLRRL,tftfftft,1
'videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/TB_ball_rattle_L.mp4','videos/FB_map_L.mp4','videos/TB_magnifier_tröte_R.mp4','videos/FB_necklace_R.mp4','videos/FB_pen_whistle_R.mp4','videos/TB_sword_L.mp4','videos/FB_compass_bell_L.mp4','videos/TB_bottle_R.mp4',IKKI,RRLL,acacacac,KIIKKIIK,LLRRRLLR,tftfftft,2
'videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/TB_ball_rattle_L.mp4','videos/FB_necklace_R.mp4','videos/TB_magnifier_tröte_R.mp4','videos/FB_sword_R.mp4','videos/FB_pen_whistle_L.mp4','videos/TB_bottle_L.mp4','videos/FB_compass_bell_R.mp4','videos/TB_map_L.mp4',IKKI,RLLR,acacacac,KIIKKIIK,LRRRLLRL,tftfftft,3
'videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/TB_ball_rattle_R.mp4','videos/FB_sword_L.mp4','videos/TB_magnifier_tröte_L.mp4','videos/FB_bottle_L.mp4','videos/FB_pen_whistle_R.mp4','videos/TB_map_R.mp4','videos/FB_compass_bell_R.mp4','videos/TB_necklace_L.mp4',IKKI,LLRR,acacacac,KIIKKIIK,RLLLRRRL,tftfftft,4
'videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/TB_compass_bell_R.mp4','videos/FB_bottle_R.mp4','videos/TB_pen_whistle_L.mp4','videos/FB_map_R.mp4','videos/FB_magnifier_tröte_R.mp4','videos/TB_necklace_L.mp4','videos/FB_ball_rattle_R.mp4','videos/TB_sword_L.mp4',KIIK,LRRL,acacacac,KIIKKIIK,RRLRRLRL,tftfftft,5
'videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/TB_compass_bell_L.mp4','videos/FB_map_L.mp4','videos/TB_pen_whistle_R.mp4','videos/FB_necklace_L.mp4','videos/FB_magnifier_tröte_L.mp4','videos/TB_sword_R.mp4','videos/FB_ball_rattle_L.mp4','videos/TB_bottle_R.mp4',KIIK,RRLL,acacacac,KIIKKIIK,LLRLLRLR,tftfftft,6
'videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/TB_compass_bell_L.mp4','videos/FB_necklace_R.mp4','videos/TB_pen_whistle_R.mp4','videos/FB_sword_L.mp4','videos/FB_magnifier_tröte_R.mp4','videos/TB_bottle_R.mp4','videos/FB_ball_rattle_L.mp4','videos/TB_map_R.mp4',KIIK,RLLR,acacacac,KIIKKIIK,LRRLRRLR,tftfftft,7
'videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/TB_compass_bell_R.mp4','videos/FB_sword_L.mp4','videos/TB_pen_whistle_L.mp4','videos/FB_bottle_R.mp4','videos/FB_magnifier_tröte_L.mp4','videos/TB_map_L.mp4','videos/FB_ball_rattle_L.mp4','videos/TB_necklace_R.mp4',KIIK,LLRR,acacacac,KIIKKIIK,RLLRLLLR,tftfftft,8
'videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/TB_pen_whistle_R.mp4','videos/FB_bottle_R.mp4','videos/TB_ball_rattle_L.mp4','videos/FB_map_L.mp4','videos/FB_compass_bell_L.mp4','videos/TB_necklace_R.mp4','videos/FB_magnifier_tröte_R.mp4','videos/TB_sword_L.mp4',IKKI,LRRL,acacacac,IKKIIKKI,RRLLLRRL,tftfftft,9
'videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/TB_pen_whistle_L.mp4','videos/FB_map_L.mp4','videos/TB_ball_rattle_R.mp4','videos/FB_necklace_R.mp4','videos/FB_compass_bell_R.mp4','videos/TB_sword_L.mp4','videos/FB_magnifier_tröte_L.mp4','videos/TB_bottle_R.mp4',IKKI,RRLL,acacacac,IKKIIKKI,LLRRRLLR,tftfftft,10
'videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/TB_pen_whistle_L.mp4','videos/FB_necklace_R.mp4','videos/TB_ball_rattle_R.mp4','videos/FB_sword_R.mp4','videos/FB_compass_bell_L.mp4','videos/TB_bottle_L.mp4','videos/FB_magnifier_tröte_R.mp4','videos/TB_map_L.mp4',IKKI,RLLR,acacacac,IKKIIKKI,LRRRLLRL,tftfftft,11
'videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/TB_pen_whistle_R.mp4','videos/FB_sword_L.mp4','videos/TB_ball_rattle_L.mp4','videos/FB_bottle_L.mp4','videos/FB_compass_bell_R.mp4','videos/TB_map_R.mp4','videos/FB_magnifier_tröte_R.mp4','videos/TB_necklace_L.mp4',IKKI,LLRR,acacacac,IKKIIKKI,RLLLRRRL,tftfftft,12
'videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/TB_magnifier_tröte_R.mp4','videos/FB_bottle_R.mp4','videos/TB_compass_bell_L.mp4','videos/FB_map_R.mp4','videos/FB_ball_rattle_R.mp4','videos/TB_necklace_L.mp4','videos/FB_pen_whistle_R.mp4','videos/TB_sword_L.mp4',KIIK,LRRL,acacacac,IKKIIKKI,RRLRRLRL,tftfftft,13
'videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/TB_magnifier_tröte_L.mp4','videos/FB_map_L.mp4','videos/TB_compass_bell_R.mp4','videos/FB_necklace_L.mp4','videos/FB_ball_rattle_L.mp4','videos/TB_sword_R.mp4','videos/FB_pen_whistle_L.mp4','videos/TB_bottle_R.mp4',KIIK,RRLL,acacacac,IKKIIKKI,LLRLLRLR,tftfftft,14
'videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/TB_magnifier_tröte_L.mp4','videos/FB_necklace_R.mp4','videos/TB_compass_bell_R.mp4','videos/FB_sword_L.mp4','videos/FB_ball_rattle_R.mp4','videos/TB_bottle_R.mp4','videos/FB_pen_whistle_L.mp4','videos/TB_map_R.mp4',KIIK,RLLR,acacacac,IKKIIKKI,LRRLRRLR,tftfftft,15
'videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/TB_magnifier_tröte_R.mp4','videos/FB_sword_L.mp4','videos/TB_compass_bell_L.mp4','videos/FB_bottle_R.mp4','videos/FB_ball_rattle_L.mp4','videos/TB_map_L.mp4','videos/FB_pen_whistle_L.mp4','videos/TB_necklace_R.mp4',KIIK,LLRR,acacacac,IKKIIKKI,RLLRLLLR,tftfftft,16
'videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/FB_ball_rattle_R.mp4','videos/TB_bottle_R.mp4','videos/FB_magnifier_tröte_L.mp4','videos/TB_map_L.mp4','videos/TB_pen_whistle_L.mp4','videos/FB_necklace_R.mp4','videos/TB_compass_bell_R.mp4','videos/FB_sword_L.mp4',IKKI,LRRL,acacacac,KIIKKIIK,RRLLLRRL,ftfttftf,17
'videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/FB_ball_rattle_L.mp4','videos/TB_map_L.mp4','videos/FB_magnifier_tröte_R.mp4','videos/TB_necklace_R.mp4','videos/TB_pen_whistle_R.mp4','videos/FB_sword_L.mp4','videos/TB_compass_bell_L.mp4','videos/FB_bottle_R.mp4',IKKI,RRLL,acacacac,KIIKKIIK,LLRRRLLR,ftfttftf,18
'videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/FB_ball_rattle_L.mp4','videos/TB_necklace_R.mp4','videos/FB_magnifier_tröte_R.mp4','videos/TB_sword_R.mp4','videos/TB_pen_whistle_L.mp4','videos/FB_bottle_L.mp4','videos/TB_compass_bell_R.mp4','videos/FB_map_L.mp4',IKKI,RLLR,acacacac,KIIKKIIK,LRRRLLRL,ftfttftf,19
'videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/FB_ball_rattle_R.mp4','videos/TB_sword_L.mp4','videos/FB_magnifier_tröte_L.mp4','videos/TB_bottle_L.mp4','videos/TB_pen_whistle_R.mp4','videos/FB_map_R.mp4','videos/TB_compass_bell_R.mp4','videos/FB_necklace_L.mp4',IKKI,LLRR,acacacac,KIIKKIIK,RLLLRRRL,ftfttftf,20
'videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/FB_compass_bell_R.mp4','videos/TB_bottle_R.mp4','videos/FB_pen_whistle_L.mp4','videos/TB_map_R.mp4','videos/TB_magnifier_tröte_R.mp4','videos/FB_necklace_L.mp4','videos/TB_ball_rattle_R.mp4','videos/FB_sword_L.mp4',KIIK,LRRL,acacacac,KIIKKIIK,RRLRRLRL,ftfttftf,21
'videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/FB_compass_bell_L.mp4','videos/TB_map_L.mp4','videos/FB_pen_whistle_R.mp4','videos/TB_necklace_L.mp4','videos/TB_magnifier_tröte_L.mp4','videos/FB_sword_R.mp4','videos/TB_ball_rattle_L.mp4','videos/FB_bottle_R.mp4',KIIK,RRLL,acacacac,KIIKKIIK,LLRLLRLR,ftfttftf,22
'videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/FB_compass_bell_L.mp4','videos/TB_necklace_R.mp4','videos/FB_pen_whistle_R.mp4','videos/TB_sword_L.mp4','videos/TB_magnifier_tröte_R.mp4','videos/FB_bottle_R.mp4','videos/TB_ball_rattle_L.mp4','videos/FB_map_R.mp4',KIIK,RLLR,acacacac,KIIKKIIK,LRRLRRLR,ftfttftf,23
'videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/FB_compass_bell_R.mp4','videos/TB_sword_L.mp4','videos/FB_pen_whistle_L.mp4','videos/TB_bottle_R.mp4','videos/TB_magnifier_tröte_L.mp4','videos/FB_map_L.mp4','videos/TB_ball_rattle_L.mp4','videos/FB_necklace_R.mp4',KIIK,LLRR,acacacac,KIIKKIIK,RLLRLLLR,ftfttftf,24
'videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/FB_pen_whistle_R.mp4','videos/TB_bottle_R.mp4','videos/FB_ball_rattle_L.mp4','videos/TB_map_L.mp4','videos/TB_compass_bell_L.mp4','videos/FB_necklace_R.mp4','videos/TB_magnifier_tröte_R.mp4','videos/FB_sword_L.mp4',IKKI,LRRL,acacacac,IKKIIKKI,RRLLLRRL,ftfttftf,25
'videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/FB_pen_whistle_L.mp4','videos/TB_map_L.mp4','videos/FB_ball_rattle_R.mp4','videos/TB_necklace_R.mp4','videos/TB_compass_bell_R.mp4','videos/FB_sword_L.mp4','videos/TB_magnifier_tröte_L.mp4','videos/FB_bottle_R.mp4',IKKI,RRLL,acacacac,IKKIIKKI,LLRRRLLR,ftfttftf,26
'videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/FB_pen_whistle_L.mp4','videos/TB_necklace_R.mp4','videos/FB_ball_rattle_R.mp4','videos/TB_sword_R.mp4','videos/TB_compass_bell_L.mp4','videos/FB_bottle_L.mp4','videos/TB_magnifier_tröte_R.mp4','videos/FB_map_L.mp4',IKKI,RLLR,acacacac,IKKIIKKI,LRRRLLRL,ftfttftf,27
'videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/FB_pen_whistle_R.mp4','videos/TB_sword_L.mp4','videos/FB_ball_rattle_L.mp4','videos/TB_bottle_L.mp4','videos/TB_compass_bell_R.mp4','videos/FB_map_R.mp4','videos/TB_magnifier_tröte_R.mp4','videos/FB_necklace_L.mp4',IKKI,LLRR,acacacac,IKKIIKKI,RLLLRRRL,ftfttftf,28
'videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/FB_magnifier_tröte_R.mp4','videos/TB_bottle_R.mp4','videos/FB_compass_bell_L.mp4','videos/TB_map_R.mp4','videos/TB_ball_rattle_R.mp4','videos/FB_necklace_L.mp4','videos/TB_pen_whistle_R.mp4','videos/FB_sword_L.mp4',KIIK,LRRL,acacacac,IKKIIKKI,RRLRRLRL,ftfttftf,29
'videos/cup_drum_R.mp4','videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/FB_magnifier_tröte_L.mp4','videos/TB_map_L.mp4','videos/FB_compass_bell_R.mp4','videos/TB_necklace_L.mp4','videos/TB_ball_rattle_L.mp4','videos/FB_sword_R.mp4','videos/TB_pen_whistle_L.mp4','videos/FB_bottle_R.mp4',KIIK,RRLL,acacacac,IKKIIKKI,LLRLLRLR,ftfttftf,30
'videos/die_telescope_R.mp4','videos/flower_coin_L.mp4','videos/crown_comb_L.mp4','videos/cup_drum_R.mp4','videos/FB_magnifier_tröte_L.mp4','videos/TB_necklace_R.mp4','videos/FB_compass_bell_R.mp4','videos/TB_sword_L.mp4','videos/TB_ball_rattle_R.mp4','videos/FB_bottle_R.mp4','videos/TB_pen_whistle_L.mp4','videos/FB_map_R.mp4',KIIK,RLLR,acacacac,IKKIIKKI,LRRLRRLR,ftfttftf,31
