id,consis.fam,outcome.fam,tb.fb,obj.pair,video.1,video.2,video.3,video.4,order,consis,outcome,video.5,video.6,video.7,video.8,video.9,video.10,video.11,video.12
1,IKKI,LRRL,tftfftft,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,acacacac,KIIKKIIK,RRLLLRRL,TB_ball_rattle_R,FB_bottle_R,TB_magnifier_tröte_L,FB_map_L,FB_pen_whistle_L,TB_necklace_R,FB_compass_bell_R,TB_sword_L
2,IKKI,RRLL,tftfftft,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,acacacac,KIIKKIIK,LLRRRLLR,TB_ball_rattle_L,FB_map_L,TB_magnifier_tröte_R,FB_necklace_R,FB_pen_whistle_R,TB_sword_L,FB_compass_bell_L,TB_bottle_R
3,IKKI,RLLR,tftfftft,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,acacacac,KIIKKIIK,LRRRLLRL,TB_ball_rattle_L,FB_necklace_R,TB_magnifier_tröte_R,FB_sword_R,FB_pen_whistle_L,TB_bottle_L,FB_compass_bell_R,TB_map_L
4,IKKI,LLRR,tftfftft,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,acacacac,KIIKKIIK,RLLLRRRL,TB_ball_rattle_R,FB_sword_L,TB_magnifier_tröte_L,FB_bottle_L,FB_pen_whistle_R,TB_map_R,FB_compass_bell_R,TB_necklace_L
5,KIIK,LRRL,tftfftft,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,acacacac,KIIKKIIK,RRLRRLRL,TB_compass_bell_R,FB_bottle_R,TB_pen_whistle_L,FB_map_R,FB_magnifier_tröte_R,TB_necklace_L,FB_ball_rattle_R,TB_sword_L
6,KIIK,RRLL,tftfftft,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,acacacac,KIIKKIIK,LLRLLRLR,TB_compass_bell_L,FB_map_L,TB_pen_whistle_R,FB_necklace_L,FB_magnifier_tröte_L,TB_sword_R,FB_ball_rattle_L,TB_bottle_R
7,KIIK,RLLR,tftfftft,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,acacacac,KIIKKIIK,LRRLRRLR,TB_compass_bell_L,FB_necklace_R,TB_pen_whistle_R,FB_sword_L,FB_magnifier_tröte_R,TB_bottle_R,FB_ball_rattle_L,TB_map_R
8,KIIK,LLRR,tftfftft,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,acacacac,KIIKKIIK,RLLRLLLR,TB_compass_bell_R,FB_sword_L,TB_pen_whistle_L,FB_bottle_R,FB_magnifier_tröte_L,TB_map_L,FB_ball_rattle_L,TB_necklace_R
9,IKKI,LRRL,tftfftft,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,acacacac,IKKIIKKI,RRLLLRRL,TB_pen_whistle_R,FB_bottle_R,TB_ball_rattle_L,FB_map_L,FB_compass_bell_L,TB_necklace_R,FB_magnifier_tröte_R,TB_sword_L
10,IKKI,RRLL,tftfftft,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,acacacac,IKKIIKKI,LLRRRLLR,TB_pen_whistle_L,FB_map_L,TB_ball_rattle_R,FB_necklace_R,FB_compass_bell_R,TB_sword_L,FB_magnifier_tröte_L,TB_bottle_R
11,IKKI,RLLR,tftfftft,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,acacacac,IKKIIKKI,LRRRLLRL,TB_pen_whistle_L,FB_necklace_R,TB_ball_rattle_R,FB_sword_R,FB_compass_bell_L,TB_bottle_L,FB_magnifier_tröte_R,TB_map_L
12,IKKI,LLRR,tftfftft,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,acacacac,IKKIIKKI,RLLLRRRL,TB_pen_whistle_R,FB_sword_L,TB_ball_rattle_L,FB_bottle_L,FB_compass_bell_R,TB_map_R,FB_magnifier_tröte_R,TB_necklace_L
13,KIIK,LRRL,tftfftft,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,acacacac,IKKIIKKI,RRLRRLRL,TB_magnifier_tröte_R,FB_bottle_R,TB_compass_bell_L,FB_map_R,FB_ball_rattle_R,TB_necklace_L,FB_pen_whistle_R,TB_sword_L
14,KIIK,RRLL,tftfftft,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,acacacac,IKKIIKKI,LLRLLRLR,TB_magnifier_tröte_L,FB_map_L,TB_compass_bell_R,FB_necklace_L,FB_ball_rattle_L,TB_sword_R,FB_pen_whistle_L,TB_bottle_R
15,KIIK,RLLR,tftfftft,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,acacacac,IKKIIKKI,LRRLRRLR,TB_magnifier_tröte_L,FB_necklace_R,TB_compass_bell_R,FB_sword_L,FB_ball_rattle_R,TB_bottle_R,FB_pen_whistle_L,TB_map_R
16,KIIK,LLRR,tftfftft,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,acacacac,IKKIIKKI,RLLRLLLR,TB_magnifier_tröte_R,FB_sword_L,TB_compass_bell_L,FB_bottle_R,FB_ball_rattle_L,TB_map_L,FB_pen_whistle_L,TB_necklace_R
17,IKKI,LRRL,ftfttftf,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,acacacac,KIIKKIIK,RRLLLRRL,FB_ball_rattle_R,TB_bottle_R,FB_magnifier_tröte_L,TB_map_L,TB_pen_whistle_L,FB_necklace_R,TB_compass_bell_R,FB_sword_L
18,IKKI,RRLL,ftfttftf,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,acacacac,KIIKKIIK,LLRRRLLR,FB_ball_rattle_L,TB_map_L,FB_magnifier_tröte_R,TB_necklace_R,TB_pen_whistle_R,FB_sword_L,TB_compass_bell_L,FB_bottle_R
19,IKKI,RLLR,ftfttftf,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,acacacac,KIIKKIIK,LRRRLLRL,FB_ball_rattle_L,TB_necklace_R,FB_magnifier_tröte_R,TB_sword_R,TB_pen_whistle_L,FB_bottle_L,TB_compass_bell_R,FB_map_L
20,IKKI,LLRR,ftfttftf,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,acacacac,KIIKKIIK,RLLLRRRL,FB_ball_rattle_R,TB_sword_L,FB_magnifier_tröte_L,TB_bottle_L,TB_pen_whistle_R,FB_map_R,TB_compass_bell_R,FB_necklace_L
21,KIIK,LRRL,ftfttftf,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,acacacac,KIIKKIIK,RRLRRLRL,FB_compass_bell_R,TB_bottle_R,FB_pen_whistle_L,TB_map_R,TB_magnifier_tröte_R,FB_necklace_L,TB_ball_rattle_R,FB_sword_L
22,KIIK,RRLL,ftfttftf,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,acacacac,KIIKKIIK,LLRLLRLR,FB_compass_bell_L,TB_map_L,FB_pen_whistle_R,TB_necklace_L,TB_magnifier_tröte_L,FB_sword_R,TB_ball_rattle_L,FB_bottle_R
23,KIIK,RLLR,ftfttftf,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,acacacac,KIIKKIIK,LRRLRRLR,FB_compass_bell_L,TB_necklace_R,FB_pen_whistle_R,TB_sword_L,TB_magnifier_tröte_R,FB_bottle_R,TB_ball_rattle_L,FB_map_R
24,KIIK,LLRR,ftfttftf,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,acacacac,KIIKKIIK,RLLRLLLR,FB_compass_bell_R,TB_sword_L,FB_pen_whistle_L,TB_bottle_R,TB_magnifier_tröte_L,FB_map_L,TB_ball_rattle_L,FB_necklace_R
25,IKKI,LRRL,ftfttftf,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,acacacac,IKKIIKKI,RRLLLRRL,FB_pen_whistle_R,TB_bottle_R,FB_ball_rattle_L,TB_map_L,TB_compass_bell_L,FB_necklace_R,TB_magnifier_tröte_R,FB_sword_L
26,IKKI,RRLL,ftfttftf,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,acacacac,IKKIIKKI,LLRRRLLR,FB_pen_whistle_L,TB_map_L,FB_ball_rattle_R,TB_necklace_R,TB_compass_bell_R,FB_sword_L,TB_magnifier_tröte_L,FB_bottle_R
27,IKKI,RLLR,ftfttftf,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,acacacac,IKKIIKKI,LRRRLLRL,FB_pen_whistle_L,TB_necklace_R,FB_ball_rattle_R,TB_sword_R,TB_compass_bell_L,FB_bottle_L,TB_magnifier_tröte_R,FB_map_L
28,IKKI,LLRR,ftfttftf,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,acacacac,IKKIIKKI,RLLLRRRL,FB_pen_whistle_R,TB_sword_L,FB_ball_rattle_L,TB_bottle_L,TB_compass_bell_R,FB_map_R,TB_magnifier_tröte_R,FB_necklace_L
29,KIIK,LRRL,ftfttftf,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,acacacac,IKKIIKKI,RRLRRLRL,FB_magnifier_tröte_R,TB_bottle_R,FB_compass_bell_L,TB_map_R,TB_ball_rattle_R,FB_necklace_L,TB_pen_whistle_R,FB_sword_L
30,KIIK,RRLL,ftfttftf,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,acacacac,IKKIIKKI,LLRLLRLR,FB_magnifier_tröte_L,TB_map_L,FB_compass_bell_R,TB_necklace_L,TB_ball_rattle_L,FB_sword_R,TB_pen_whistle_L,FB_bottle_R
31,KIIK,RLLR,ftfttftf,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,acacacac,IKKIIKKI,LRRLRRLR,FB_magnifier_tröte_L,TB_necklace_R,FB_compass_bell_R,TB_sword_L,TB_ball_rattle_R,FB_bottle_R,TB_pen_whistle_L,FB_map_R
32,KIIK,LLRR,ftfttftf,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,acacacac,IKKIIKKI,RLLRLLLR,FB_magnifier_tröte_R,TB_sword_L,FB_compass_bell_L,TB_bottle_R,TB_ball_rattle_L,FB_map_L,TB_pen_whistle_L,FB_necklace_R
33,IKKI,LRRL,tftfftft,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,cacacaca,KIIKKIIK,RRLLLRRL,TB_bottle_R,FB_ball_rattle_R,TB_map_L,FB_magnifier_tröte_L,FB_necklace_L,TB_pen_whistle_R,FB_sword_R,TB_compass_bell_L
34,IKKI,RRLL,tftfftft,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,cacacaca,KIIKKIIK,LLRRRLLR,TB_map_L,FB_ball_rattle_L,TB_necklace_R,FB_magnifier_tröte_R,FB_sword_R,TB_pen_whistle_L,FB_bottle_L,TB_compass_bell_R
35,IKKI,RLLR,tftfftft,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,cacacaca,KIIKKIIK,LRRRLLRL,TB_necklace_L,FB_ball_rattle_R,TB_sword_R,FB_magnifier_tröte_R,FB_bottle_L,TB_pen_whistle_L,FB_map_R,TB_compass_bell_L
36,IKKI,LLRR,tftfftft,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,cacacaca,KIIKKIIK,RLLLRRRL,TB_sword_R,FB_ball_rattle_L,TB_bottle_L,FB_magnifier_tröte_L,FB_map_R,TB_pen_whistle_R,FB_necklace_R,TB_compass_bell_L
37,KIIK,LRRL,tftfftft,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,cacacaca,KIIKKIIK,RRLRRLRL,TB_bottle_R,FB_compass_bell_R,TB_map_L,FB_pen_whistle_R,FB_necklace_R,TB_magnifier_tröte_L,FB_sword_R,TB_ball_rattle_L
38,KIIK,RRLL,tftfftft,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,cacacaca,KIIKKIIK,LLRLLRLR,TB_map_L,FB_compass_bell_L,TB_necklace_R,FB_pen_whistle_L,FB_sword_L,TB_magnifier_tröte_R,FB_bottle_L,TB_ball_rattle_R
39,KIIK,RLLR,tftfftft,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,cacacaca,KIIKKIIK,LRRLRRLR,TB_necklace_L,FB_compass_bell_R,TB_sword_R,FB_pen_whistle_L,FB_bottle_R,TB_magnifier_tröte_R,FB_map_L,TB_ball_rattle_R
40,KIIK,LLRR,tftfftft,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,cacacaca,KIIKKIIK,RLLRLLLR,TB_sword_R,FB_compass_bell_L,TB_bottle_L,FB_pen_whistle_R,FB_map_L,TB_magnifier_tröte_L,FB_necklace_L,TB_ball_rattle_R
41,IKKI,LRRL,tftfftft,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,cacacaca,IKKIIKKI,RRLLLRRL,TB_bottle_R,FB_pen_whistle_R,TB_map_L,FB_ball_rattle_L,FB_necklace_L,TB_compass_bell_R,FB_sword_R,TB_magnifier_tröte_L
42,IKKI,RRLL,tftfftft,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,cacacaca,IKKIIKKI,LLRRRLLR,TB_map_L,FB_pen_whistle_L,TB_necklace_R,FB_ball_rattle_R,FB_sword_R,TB_compass_bell_L,FB_bottle_L,TB_magnifier_tröte_R
43,IKKI,RLLR,tftfftft,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,cacacaca,IKKIIKKI,LRRRLLRL,TB_necklace_L,FB_pen_whistle_R,TB_sword_R,FB_ball_rattle_R,FB_bottle_L,TB_compass_bell_L,FB_map_R,TB_magnifier_tröte_L
44,IKKI,LLRR,tftfftft,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,cacacaca,IKKIIKKI,RLLLRRRL,TB_sword_R,FB_pen_whistle_L,TB_bottle_L,FB_ball_rattle_L,FB_map_R,TB_compass_bell_R,FB_necklace_R,TB_magnifier_tröte_L
45,KIIK,LRRL,tftfftft,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,cacacaca,IKKIIKKI,RRLRRLRL,TB_bottle_R,FB_magnifier_tröte_R,TB_map_L,FB_compass_bell_R,FB_necklace_R,TB_ball_rattle_L,FB_sword_R,TB_pen_whistle_L
46,KIIK,RRLL,tftfftft,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,cacacaca,IKKIIKKI,LLRLLRLR,TB_map_L,FB_magnifier_tröte_L,TB_necklace_R,FB_compass_bell_L,FB_sword_L,TB_ball_rattle_R,FB_bottle_L,TB_pen_whistle_R
47,KIIK,RLLR,tftfftft,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,cacacaca,IKKIIKKI,LRRLRRLR,TB_necklace_L,FB_magnifier_tröte_R,TB_sword_R,FB_compass_bell_L,FB_bottle_R,TB_ball_rattle_R,FB_map_L,TB_pen_whistle_R
48,KIIK,LLRR,tftfftft,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,cacacaca,IKKIIKKI,RLLRLLLR,TB_sword_R,FB_magnifier_tröte_L,TB_bottle_L,FB_compass_bell_R,FB_map_L,TB_ball_rattle_L,FB_necklace_L,TB_pen_whistle_R
49,IKKI,LRRL,ftfttftf,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,cacacaca,KIIKKIIK,RRLLLRRL,FB_bottle_R,TB_ball_rattle_R,FB_map_L,TB_magnifier_tröte_L,TB_necklace_L,FB_pen_whistle_R,TB_sword_R,FB_compass_bell_L
50,IKKI,RRLL,ftfttftf,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,cacacaca,KIIKKIIK,LLRRRLLR,FB_map_L,TB_ball_rattle_L,FB_necklace_R,TB_magnifier_tröte_R,TB_sword_R,FB_pen_whistle_L,TB_bottle_L,FB_compass_bell_R
51,IKKI,RLLR,ftfttftf,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,cacacaca,KIIKKIIK,LRRRLLRL,FB_necklace_L,TB_ball_rattle_R,FB_sword_R,TB_magnifier_tröte_R,TB_bottle_L,FB_pen_whistle_L,TB_map_R,FB_compass_bell_L
52,IKKI,LLRR,ftfttftf,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,cacacaca,KIIKKIIK,RLLLRRRL,FB_sword_R,TB_ball_rattle_L,FB_bottle_L,TB_magnifier_tröte_L,TB_map_R,FB_pen_whistle_R,TB_necklace_R,FB_compass_bell_L
53,KIIK,LRRL,ftfttftf,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,cacacaca,KIIKKIIK,RRLRRLRL,FB_bottle_R,TB_compass_bell_R,FB_map_L,TB_pen_whistle_R,TB_necklace_R,FB_magnifier_tröte_L,TB_sword_R,FB_ball_rattle_L
54,KIIK,RRLL,ftfttftf,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,cacacaca,KIIKKIIK,LLRLLRLR,FB_map_L,TB_compass_bell_L,FB_necklace_R,TB_pen_whistle_L,TB_sword_L,FB_magnifier_tröte_R,TB_bottle_L,FB_ball_rattle_R
55,KIIK,RLLR,ftfttftf,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,cacacaca,KIIKKIIK,LRRLRRLR,FB_necklace_L,TB_compass_bell_R,FB_sword_R,TB_pen_whistle_L,TB_bottle_R,FB_magnifier_tröte_R,TB_map_L,FB_ball_rattle_R
56,KIIK,LLRR,ftfttftf,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,cacacaca,KIIKKIIK,RLLRLLLR,FB_sword_R,TB_compass_bell_L,FB_bottle_L,TB_pen_whistle_R,TB_map_L,FB_magnifier_tröte_L,TB_necklace_L,FB_ball_rattle_R
57,IKKI,LRRL,ftfttftf,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,cacacaca,IKKIIKKI,RRLLLRRL,FB_bottle_R,TB_pen_whistle_R,FB_map_L,TB_ball_rattle_L,TB_necklace_L,FB_compass_bell_R,TB_sword_R,FB_magnifier_tröte_L
58,IKKI,RRLL,ftfttftf,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,cacacaca,IKKIIKKI,LLRRRLLR,FB_map_L,TB_pen_whistle_L,FB_necklace_R,TB_ball_rattle_R,TB_sword_R,FB_compass_bell_L,TB_bottle_L,FB_magnifier_tröte_R
59,IKKI,RLLR,ftfttftf,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,cacacaca,IKKIIKKI,LRRRLLRL,FB_necklace_L,TB_pen_whistle_R,FB_sword_R,TB_ball_rattle_R,TB_bottle_L,FB_compass_bell_L,TB_map_R,FB_magnifier_tröte_L
60,IKKI,LLRR,ftfttftf,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,cacacaca,IKKIIKKI,RLLLRRRL,FB_sword_R,TB_pen_whistle_L,FB_bottle_L,TB_ball_rattle_L,TB_map_R,FB_compass_bell_R,TB_necklace_R,FB_magnifier_tröte_L
61,KIIK,LRRL,ftfttftf,cccddtfc,crown_comb_L,cup_drum_R,die_telescope_R,flower_coin_L,cacacaca,IKKIIKKI,RRLRRLRL,FB_bottle_R,TB_magnifier_tröte_R,FB_map_L,TB_compass_bell_R,TB_necklace_R,FB_ball_rattle_L,TB_sword_R,FB_pen_whistle_L
62,KIIK,RRLL,ftfttftf,cddtfccc,cup_drum_R,die_telescope_R,flower_coin_L,crown_comb_L,cacacaca,IKKIIKKI,LLRLLRLR,FB_map_L,TB_magnifier_tröte_L,FB_necklace_R,TB_compass_bell_L,TB_sword_L,FB_ball_rattle_R,TB_bottle_L,FB_pen_whistle_R
63,KIIK,RLLR,ftfttftf,dtfccccd,die_telescope_R,flower_coin_L,crown_comb_L,cup_drum_R,cacacaca,IKKIIKKI,LRRLRRLR,FB_necklace_L,TB_magnifier_tröte_R,FB_sword_R,TB_compass_bell_L,TB_bottle_R,FB_ball_rattle_R,TB_map_L,FB_pen_whistle_R
64,KIIK,LLRR,ftfttftf,fccccddt,flower_coin_L,crown_comb_L,cup_drum_R,die_telescope_R,cacacaca,IKKIIKKI,RLLRLLLR,FB_sword_R,TB_magnifier_tröte_L,FB_bottle_L,TB_compass_bell_R,TB_map_L,FB_ball_rattle_L,TB_necklace_L,FB_pen_whistle_R
